role,name,team,mantra_role,quote,fvm,status,starter_probability,data_quality,appearances_previous,average_rating_previous,fantasy_average_previous,goals_previous,assists_previous,xg_previous,xa_previous,penalties_scored,penalties_taken,yellow_cards,red_cards,goals_conceded,penalties_saved,goals_prevented,expected_appearances,expected_goals,expected_assists,expected_fantasy_average,reliability,bonus,potential,risk,value,fantasy_score,tier,profile
P,Svilar,ROM,Por,18,65,Titolare,0.9,Storico Serie A,38,6.32,5.5,0,0,,,0,0,0,0,31,0,4.7,34,0,0,5.5,93,76,68,7,24,68,Top,Priorità d'asta
P,Martinez Jo.,INT,Por,17,63,Titolare,0.9,Campione ridotto,5,6,5.2,0,0,,,0,0,0,0,4,0,,30,0,0,5.2,71,57,46,36,19,47,Buono,Rotazione/copertura
P,Butez,COM,Por,16,56,Titolare,0.9,Storico Serie A,38,6.11,5.41,0,1,,,0,0,3,0,29,1,2.1,34,0,0,5.41,93,69,54,8,25,62,Ottimo,Titolare affidabile
P,Carnesecchi,ATA,Por,16,52,Titolare,0.9,Storico Serie A,37,6.43,5.65,0,0,,,0,0,0,0,35,2,7.1,34,0,0,5.65,92,77,70,8,28,69,Top,Priorità d'asta
P,Maignan,MIL,Por,15,50,Titolare,0.9,Storico Serie A,37,6.3,5.46,0,0,,,0,0,4,0,35,2,10.5,34,0,0,5.46,92,78,69,9,29,69,Top,Priorità d'asta
P,De Gea,FIO,Por,13,45,Titolare,0.9,Storico Serie A,37,6.22,4.97,0,0,,,0,0,0,0,49,1,,34,0,0,4.97,92,62,41,8,28,58,Ottimo,Titolare affidabile
P,Meret,NAP,Por,11,45,Titolare,0.9,Storico Serie A,11,6.18,5.14,0,1,,,0,0,1,0,12,0,,31,0,0,5.14,75,54,41,26,29,49,Buono,Rotazione/copertura
P,Skorupski,BOL,Por,10,37,Titolare,0.9,Storico Serie A,18,6.14,5.22,0,0,,,0,0,1,1,15,0,-1,32,0,0,5.22,79,52,28,23,30,47,Buono,Rotazione/copertura
P,Caprile,CAG,Por,9,27,Titolare,0.9,Storico Serie A,38,6.29,4.87,0,0,,,0,0,2,0,53,0,3.5,34,0,0,4.87,93,65,52,8,43,64,Ottimo,Titolare affidabile
P,Di Gregorio,JUV,Por,9,40,Titolare,0.9,Storico Serie A,30,6.07,5.32,0,0,,,0,0,1,0,25,1,,33,0,0,5.32,87,58,39,13,38,56,Ottimo,Titolare affidabile
P,Mandas,LAZ,Por,9,30,Titolare,0.9,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,34,0,0,5.86,86,56,36,29,38,53,Buono,Titolare affidabile
P,Okoye,UDI,Por,9,29,Titolare,0.9,Storico Serie A,30,6.08,5.1,0,1,,,0,0,1,1,32,1,4.4,33,0,0,5.1,87,64,63,14,43,64,Ottimo,Titolare affidabile
P,Bijlow,GEN,Por,8,18,Titolare,0.9,Storico Serie A,16,6.09,4.81,0,0,,,0,0,1,0,20,0,,31,0,0,4.81,78,49,33,23,37,48,Buono,Rotazione/copertura
P,Falcone,LEC,Por,8,25,Titolare,0.9,Storico Serie A,38,6.45,5.26,0,0,,,0,0,2,0,50,2,6.4,34,0,0,5.26,93,70,62,8,51,70,Top,Priorità d'asta
P,Daffara,PAR,Por,7,5,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.77,34,26,29,81,24,20,Cautela,Profilo rischioso
P,Muric,SAS,Por,7,15,Titolare,0.9,Storico Serie A,32,6.06,4.75,0,0,,,0,0,4,0,43,1,5.7,33,0,0,4.75,89,64,59,13,55,66,Top,Priorità d'asta
